year,school_name,street_addr,county,city,zip,district_name,designation,title_i,total_num_concentrators,num_creds_earned,num_cte_enroll,num_stu_enroll,pct_stu_enroll,Funding_2018,Funding_2019,Funding_2020,Funding_2021,Funding_2022,Funding_2023
2022,South Greenville Elementary School,811 Howell St,Pitt,Greenville,27834,Pitt County Schools,Public,Yes,NA,NA,NA,NA,NA,311957.5,317815.5,326309.5,398738.5,674000,640207
2022,Stokes School,2683 NC 903 North,Pitt,Stokes,27884,Pitt County Schools,Public,Yes,NA,NA,46,94,0.4894,311957.5,317815.5,326309.5,398738.5,674000,640207
2022,Wahl-Coates Elementary School,2200 E 5th St,Pitt,Greenville,27858,Pitt County Schools,Public,Yes,NA,NA,NA,NA,NA,311957.5,317815.5,326309.5,398738.5,674000,640207
2022,Wellcome Middle School,3101 N Memorial Drive,Pitt,Greenville,27834,Pitt County Schools,Public,Yes,NA,NA,303,431,0.703,311957.5,317815.5,326309.5,398738.5,674000,640207
2022,Wintergreen Intermediate School,4720 County Home Rd,Pitt,Greenville,27858,Pitt County Schools,Public,No,NA,NA,NA,NA,NA,311957.5,317815.5,326309.5,398738.5,674000,640207
2022,Wintergreen Primary School,4710 County Home Road,Pitt,Greenville,27858,Pitt County Schools,Public,No,NA,NA,NA,NA,NA,311957.5,317815.5,326309.5,398738.5,674000,640207
2022,PCS Early College High School,Pitt Community College,Pitt,Winterville,28590,Pitt County Schools,Public,Yes,7,NA,47,297,0.1582,311957.5,317815.5,326309.5,398738.5,674000,640207
2022,Innovation Early College High School,"Brewster D107, Mailstop 139",Pitt,Greenville,27858,Pitt County Schools,Public,Yes,NA,NA,50,185,0.2703,311957.5,317815.5,326309.5,398738.5,674000,640207
2022,Pitt County Schools,1717 W 5th Street,Pitt,Greenville,27834,NA,Public,No,1272,3405,8815,14484,0.6086,NA,NA,NA,NA,NA,NA
2022,Winterville Charter Academy,4160 Bayswater Road,Pitt,Winterville,28590,Charter Schools,Charter,Yes,NA,NA,NA,256,0.05,NA,NA,NA,NA,NA,NA
2022,ECU Community School,811 Howell St,Pitt,Greenville,27834,Lab Schools,Charter,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Tryon Elementary School,100 School Place,Polk,Tryon,28782,Polk County Schools,Public,Yes,NA,NA,NA,NA,NA,131159,143284,121514,108907,153914.5,125397
2022,Polk Central Elementary School,2141 South NC9 Hwy,Polk,Mill Spring,28756,Polk County Schools,Public,Yes,NA,NA,NA,NA,NA,131159,143284,121514,108907,153914.5,125397
2022,Polk County Early College,1545 East NC 108 Hwy,Polk,Columbus,28722,Polk County Schools,Public,No,2,NA,24,58,0.4138,131159,143284,121514,108907,153914.5,125397
2022,Polk County High School,1681 East NC 108 Hwy,Polk,Columbus,28722,Polk County Schools,Public,No,125,629,448,556,0.8058,131159,143284,121514,108907,153914.5,125397
2022,Polk County Middle School,321 Wolverine Trail,Polk,Mill Spring,28756,Polk County Schools,Public,No,NA,NA,NA,499,0.95,131159,143284,121514,108907,153914.5,125397
2022,Saluda Elementary School,214 E Main Street,Polk,Saluda,28773,Polk County Schools,Public,Yes,NA,NA,NA,NA,NA,131159,143284,121514,108907,153914.5,125397
2022,Sunny View Elementary School,86 Sunny View School Road,Polk,Mill Spring,28756,Polk County Schools,Public,Yes,NA,NA,NA,NA,NA,131159,143284,121514,108907,153914.5,125397
2022,Polk County Schools,125 E Mills Street,Polk,Columbus,28722,NA,Public,No,127,629,970,1251,0.7754000000000001,NA,NA,NA,NA,NA,NA
2022,Archdale Elementary School,207 Trindale Rd,Randolph,Archdale,27263,Randolph County Schools,Public,Yes,NA,NA,NA,NA,NA,239171,257403,294005.5,379250.5,472084,371675
2022,Trinity Middle School,5271 Surrett Drive,Randolph,Archdale,27263,Randolph County Schools,Public,No,NA,NA,303,529,0.5728,239171,257403,294005.5,379250.5,472084,371675
2022,Coleridge Elementary School,4528 NC Hwy 22 South,Randolph,Ramseur,27316,Randolph County Schools,Public,Yes,NA,NA,NA,NA,NA,239171,257403,294005.5,379250.5,472084,371675
2022,Eastern Randolph High School,390 Eastern Randolph Rd,Randolph,Ramseur,27316,Randolph County Schools,Public,No,83,1146,489,577,0.8475,239171,257403,294005.5,379250.5,472084,371675
2022,Farmer Elementary School,3557 Grange Hall Rd,Randolph,Asheboro,27205,Randolph County Schools,Public,Yes,NA,NA,NA,NA,NA,239171,257403,294005.5,379250.5,472084,371675
2022,Franklinville Elementary School,162 Pine St,Randolph,Franklinville,27248,Randolph County Schools,Public,Yes,NA,NA,NA,NA,NA,239171,257403,294005.5,379250.5,472084,371675
2022,Grays Chapel Elementary School,5322 NC Hwy 22 N,Randolph,Franklinville,27248,Randolph County Schools,Public,Yes,NA,NA,NA,NA,NA,239171,257403,294005.5,379250.5,472084,371675
2022,Hopewell Elementary School,6294 Welborn Road,Randolph,Trinity,27370,Randolph County Schools,Public,No,NA,NA,NA,NA,NA,239171,257403,294005.5,379250.5,472084,371675
2022,John R Lawrence Elementary School,6068 Suits Rd,Randolph,Archdale,27263,Randolph County Schools,Public,No,NA,NA,NA,NA,NA,239171,257403,294005.5,379250.5,472084,371675
2022,Level Cross Elementary School,5417 Old Greensboro Road,Randolph,Randleman,27317,Randolph County Schools,Public,Yes,NA,NA,NA,NA,NA,239171,257403,294005.5,379250.5,472084,371675
2022,Liberty Elementary School,206 N Fayetteville St,Randolph,Liberty,27298,Randolph County Schools,Public,Yes,NA,NA,NA,NA,NA,239171,257403,294005.5,379250.5,472084,371675
2022,New Market Elementary School,6096 US Hwy 311,Randolph,Sophia,27350,Randolph County Schools,Public,Yes,NA,NA,NA,NA,NA,239171,257403,294005.5,379250.5,472084,371675
2022,Northeastern Randolph Middle School,3493 Ramseur Julian Road,Randolph,Liberty,27298,Randolph County Schools,Public,No,NA,NA,384,484,0.7934,239171,257403,294005.5,379250.5,472084,371675
2022,Providence Grove High School,5555 Mack Lineberry Rd,Randolph,Climax,27233,Randolph County Schools,Public,No,123,1251,525,639,0.8216,239171,257403,294005.5,379250.5,472084,371675
2022,Ramseur Elementary School,6755 Jordan Road,Randolph,Ramseur,27316,Randolph County Schools,Public,Yes,NA,NA,NA,NA,NA,239171,257403,294005.5,379250.5,472084,371675
2022,Randleman Elementary School,100 Swaim St,Randolph,Randleman,27317,Randolph County Schools,Public,Yes,NA,NA,NA,NA,NA,239171,257403,294005.5,379250.5,472084,371675
2022,Randleman High School,4396 Tigers Den Rd,Randolph,Randleman,27317,Randolph County Schools,Public,No,166,490,718,849,0.8456999999999999,239171,257403,294005.5,379250.5,472084,371675
2022,Randleman Middle School,800 High Point St,Randolph,Randleman,27317,Randolph County Schools,Public,No,NA,NA,496,794,0.6247,239171,257403,294005.5,379250.5,472084,371675
2022,Randolph Early College High School,629 Industrial Park Avenue,Randolph,Asheboro,27205,Randolph County Schools,Public,No,11,61,73,351,0.20800000000000002,239171,257403,294005.5,379250.5,472084,371675
2022,Seagrove Elementary School,528 Old Plank Rd,Randolph,Seagrove,27341,Randolph County Schools,Public,Yes,NA,NA,NA,NA,NA,239171,257403,294005.5,379250.5,472084,371675
2022,Southeastern Randolph Middle School,5302 Foushee Rd,Randolph,Ramseur,27316,Randolph County Schools,Public,No,NA,NA,332,497,0.6679999999999999,239171,257403,294005.5,379250.5,472084,371675
2022,Southwestern Randolph High School,1641 Hopewell Friends Rd,Randolph,Asheboro,27205,Randolph County Schools,Public,No,116,1156,642,809,0.7936,239171,257403,294005.5,379250.5,472084,371675
2022,Southmont Elementary School,2497 Southmont School Road,Randolph,Asheboro,27205,Randolph County Schools,Public,Yes,NA,NA,NA,NA,NA,239171,257403,294005.5,379250.5,472084,371675
2022,Southwestern Randolph Middle School,1509 Hopewell Friends Rd,Randolph,Asheboro,27205,Randolph County Schools,Public,No,NA,NA,387,512,0.7559,239171,257403,294005.5,379250.5,472084,371675
2022,Tabernacle Elementary School,4901 Tabernacle School Rd,Randolph,Asheboro,27205,Randolph County Schools,Public,Yes,NA,NA,NA,NA,NA,239171,257403,294005.5,379250.5,472084,371675
2022,Trindale Elementary School,400 Balfour Dr,Randolph,Archdale,27263,Randolph County Schools,Public,Yes,NA,NA,NA,NA,NA,239171,257403,294005.5,379250.5,472084,371675
2022,Trinity Elementary School,5457 Braxton Craven Rd,Randolph,Trinity,27370,Randolph County Schools,Public,Yes,NA,NA,NA,NA,NA,239171,257403,294005.5,379250.5,472084,371675
2022,Wheatmore Middle School,5105 Archdale Road,Randolph,Trinity,27370,Randolph County Schools,Public,No,NA,NA,294,514,0.5720000000000001,239171,257403,294005.5,379250.5,472084,371675
2022,Trinity High School,5746 Trinity High School Rd,Randolph,Trinity,27370,Randolph County Schools,Public,No,148,366,533,614,0.8681,239171,257403,294005.5,379250.5,472084,371675
2022,Uwharrie Ridge Six-Twelve,1463 Pleasant Union Road,Randolph,Trinity,27370,Randolph County Schools,Public,No,24,165,306,474,0.6456000000000001,239171,257403,294005.5,379250.5,472084,371675
2022,The Virtual Academy at Randolph,4829 Tabernacle School Road,Randolph,Asheboro,27205,Randolph County Schools,Public,No,NA,NA,66,98,0.6735,239171,257403,294005.5,379250.5,472084,371675
2022,Wheatmore High School,3678 Finch Farm Rd,Randolph,Trinity,27370,Randolph County Schools,Public,No,111,1177,534,672,0.7946,239171,257403,294005.5,379250.5,472084,371675
2022,Randolph County School System,2222-C S Fayetteville Street,Randolph,Asheboro,27205,NA,Public,No,782,5812,6082,9387,0.6479,NA,NA,NA,NA,NA,NA
2022,Asheboro High School,1221 S Park St,Randolph,Asheboro,27203,Asheboro City Schools,Public,No,201,991,997,1277,0.7807,143305.5,132194.5,183557.5,203219.5,266438.5,212469.5
2022,South Asheboro Middle School,523 W Walker Ave,Randolph,Asheboro,27203,Asheboro City Schools,Public,Yes,NA,NA,417,545,0.7651,143305.5,132194.5,183557.5,203219.5,266438.5,212469.5
2022,Balfour Elementary School,2097 N Asheboro School Rd,Randolph,Asheboro,27203,Asheboro City Schools,Public,Yes,NA,NA,NA,NA,NA,143305.5,132194.5,183557.5,203219.5,266438.5,212469.5
2022,Charles W McCrary Elementary,400 Ross St,Randolph,Asheboro,27203,Asheboro City Schools,Public,Yes,NA,NA,NA,NA,NA,143305.5,132194.5,183557.5,203219.5,266438.5,212469.5
2022,Donna L Loflin Elementary School,405 S Park St,Randolph,Asheboro,27203,Asheboro City Schools,Public,Yes,NA,NA,NA,NA,NA,143305.5,132194.5,183557.5,203219.5,266438.5,212469.5
2022,Guy B Teachey Elementary School,294 Newbern Ave,Randolph,Asheboro,27205,Asheboro City Schools,Public,Yes,NA,NA,NA,NA,NA,143305.5,132194.5,183557.5,203219.5,266438.5,212469.5
2022,Lindley Park Elementary School,312 Cliff Rd,Randolph,Asheboro,27203,Asheboro City Schools,Public,Yes,NA,NA,NA,NA,NA,143305.5,132194.5,183557.5,203219.5,266438.5,212469.5
2022,North Asheboro Middle School,1861 N Asheboro School Rd,Randolph,Asheboro,27203,Asheboro City Schools,Public,Yes,NA,NA,359,472,0.7606,143305.5,132194.5,183557.5,203219.5,266438.5,212469.5
2022,Asheboro City Schools,1126 S Park Street,Randolph,Asheboro,27203,NA,Public,No,201,991,1773,2650,0.6690999999999999,NA,NA,NA,NA,NA,NA
2022,Uwharrie Charter Academy,5154 US Hwy 220 Business South,Randolph,Asheboro,27205,Charter Schools,Charter,Yes,2,NA,NA,1252,0.05,NA,NA,NA,NA,NA,NA
2022,East Rockingham Elementary School,154 Chalk Road,Richmond,Rockingham,28379,Richmond County Schools,Public,Yes,NA,NA,NA,NA,NA,104765,161778.5,243853,255334,311103.5,247483
2022,Ellerbe Middle,128 W Ballard Street,Richmond,Ellerbe,28338,Richmond County Schools,Public,Yes,NA,NA,187,210,0.8905,104765,161778.5,243853,255334,311103.5,247483
2022,Fairview Heights Elementary,104 Hamilton Ave,Richmond,Hamlet,28345,Richmond County Schools,Public,Yes,NA,NA,NA,NA,NA,104765,161778.5,243853,255334,311103.5,247483
2022,Hamlet Middle,1406 McDonald Ave,Richmond,Hamlet,28345,Richmond County Schools,Public,Yes,NA,NA,396,461,0.8590000000000001,104765,161778.5,243853,255334,311103.5,247483
2022,L J Bell Elementary,442 Hawthorne Ave,Richmond,Rockingham,28379,Richmond County Schools,Public,Yes,NA,NA,NA,NA,NA,104765,161778.5,243853,255334,311103.5,247483
2022,Ashley Chapel Educational Center,377 Mizpah Road,Richmond,Rockingham,28379,Richmond County Schools,Public,Yes,NA,NA,9,66,0.1364,104765,161778.5,243853,255334,311103.5,247483
2022,Mineral Springs Elementary,1426 Green Lake Rd,Richmond,Ellerbe,28338,Richmond County Schools,Public,Yes,NA,NA,NA,NA,NA,104765,161778.5,243853,255334,311103.5,247483
2022,Monroe Avenue Elementary,400 Monroe Ave,Richmond,Hamlet,28345,Richmond County Schools,Public,Yes,NA,NA,NA,NA,NA,104765,161778.5,243853,255334,311103.5,247483
2022,Richmond Senior High School,838 US 1 North,Richmond,Rockingham,28379,Richmond County Schools,Public,No,308,1361,1017,1240,0.8201999999999999,104765,161778.5,243853,255334,311103.5,247483
2022,Richmond Early College High School,1042 W Hamlet Ave,Richmond,Hamlet,28345,Richmond County Schools,Public,No,19,NA,80,290,0.2759,104765,161778.5,243853,255334,311103.5,247483
