year,school_name,street_addr,county,city,zip,district_name,designation,title_i,num_creds_earned,num_cte_enroll,num_stu_enroll,pct_stu_enroll,funding_2018,funding_2019,funding_2020,funding_2021,funding_2022,funding_2023
2021,Southern School of Energy and Sustainabili,800 Clayton Road,Durham,Durham,27703,Durham Public Schools,Public,No,0,904,1187,0.7615999999999999,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Sandy Ridge Elementary School,1417 Old Oxford Highway,Durham,Durham,27704,Durham Public Schools,Public,Yes,0,0,92,0.05,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Rogers-Herr Middle,911 Cornwallis Road,Durham,Durham,27707,Durham Public Schools,Public,No,0,502,677,0.7415,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Southwest Elementary,2320 Cook Road,Durham,Durham,27713,Durham Public Schools,Public,Yes,0,0,0,0,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,C C Spaulding Elementary,1531 S Roxboro Road,Durham,Durham,27707,Durham Public Schools,Public,Yes,0,0,0,0,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Spring Valley Elementary School,2051 Northern Durham Prky,Durham,Durham,27703,Durham Public Schools,Public,Yes,0,0,0,0,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,W G Pearson Elementary,3501 Fayettville Street,Durham,Durham,27707,Durham Public Schools,Public,Yes,0,0,0,0,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Y E Smith Elementary,2410 E Main Street,Durham,Durham,27703,Durham Public Schools,Public,Yes,0,0,0,0,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Hillside New Tech High School,3727 Fayetteville St,Durham,Durham,27707,Durham Public Schools,Public,No,0,292,329,0.8875,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Durham Public Schools,511 Cleveland Street,Durham,Durham,27701,Durham Public Schools,Public,No,21,10718,19255,0.5566,0,0,0,0,0,0
2021,Maureen Joy Charter School,107 South Driver Street,Durham,Durham,27703,Charter Schools,Charter,Yes,0,0,0,0,0,0,0,0,0,0
2021,Healthy Start Academy,807 West Chapel Hill Street,Durham,Durham,27701,Charter Schools,Charter,Yes,0,0,0,0,0,0,0,0,0,0
2021,Community School of Digital and Visual Art,1955 West Cornwallis Road,Durham,Durham,27705,Charter Schools,Charter,Yes,0,0,0,0,0,0,0,0,0,0
2021,Kestrel Heights School,4700 South Alston Ave.,Durham,Durham,27713,Charter Schools,Charter,Yes,0,0,0,0,0,0,0,0,0,0
2021,Research Triangle Charter Academy,2418 Ellis Road,Durham,Durham,27703,Charter Schools,Charter,Yes,0,0,0,0,0,0,0,0,0,0
2021,Central Park School for Children,724 Foster Street,Durham,Durham,27701,Charter Schools,Charter,Yes,0,0,0,0,0,0,0,0,0,0
2021,Voyager Academy,101 Hock Parc Drive,Durham,Durham,27704,Charter Schools,Charter,Yes,32,360,837,0.4301,0,0,0,0,0,0
2021,Global Scholars Academy,311 Dowd St,Durham,Durham,27701,Charter Schools,Charter,Yes,0,0,0,0,0,0,0,0,0,0
2021,Research Triangle High School,3106 East NC Highway 54,Durham,Durham,27709,Charter Schools,Charter,Yes,0,0,581,0.05,0,0,0,0,0,0
2021,The Institute for the Development of Young,4300 S. Miami Blvd.,Durham,Durham,27703,Charter Schools,Charter,Yes,0,0,0,0,0,0,0,0,0,0
2021,Reaching All Minds Academy,2703 Holloway St.,Durham,Durham,27703,Charter Schools,Charter,Yes,0,0,0,0,0,0,0,0,0,0
2021,Excelsior Classical Academy CFA,4100 N Roxboro Street,Durham,Durham,27704,Charter Schools,Charter,No,0,0,0,0,0,0,0,0,0,0
2021,KIPP Durham College Preparatory,1107 Holloway Street,Durham,Durham,27701,Charter Schools,Charter,Yes,0,0,0,0,0,0,0,0,0,0
2021,Discovery Charter School,1305 W. Club Blvd.,Durham,Durham,27705,Charter Schools,Charter,Yes,0,0,0,0,0,0,0,0,0,0
2021,G W Bulluck Elementary,3090 Bulluck School Road,Edgecombe,Rocky Mount,27801,Edgecombe County Public School,Public,Yes,0,0,0,0,0,0,0,0,0,0
2021,G W Carver Elementary,700 East Hamlet Street,Edgecombe,Pinetops,27864,Edgecombe County Public School,Public,Yes,0,0,0,0,0,0,0,0,0,0
2021,Coker-Wimberly Elementary,1619 NC 97 West,Edgecombe,Battleboro,27809,Edgecombe County Public School,Public,Yes,0,0,0,0,0,0,0,0,0,0
2021,Edgecombe Early College High,2009 West Wilson St,Edgecombe,Tarboro,27886,Edgecombe County Public School,Public,No,0,61,200,0.305,0,0,0,0,0,0
2021,North Edgecombe High,7589 NC 33-NW,Edgecombe,Tarboro,27886,Edgecombe County Public School,Public,Yes,1,157,206,0.7620999999999999,0,0,0,0,0,0
2021,Phillips Middle,4371 Battleboro-Leggett Road,Edgecombe,Battleboro,27809,Edgecombe County Public School,Public,Yes,0,88,140,0.6286,0,0,0,0,0,0
2021,Princeville Elementary,306 Walston Street,Edgecombe,Tarboro,27886,Edgecombe County Public School,Public,Yes,0,0,0,0,0,0,0,0,0,0
2021,South Edgecombe Middle,230 Pinetops-Crisp Road,Edgecombe,Pinetops,27864,Edgecombe County Public School,Public,No,0,324,365,0.8876999999999999,0,0,0,0,0,0
2021,W A Pattillo Middle School,501 East Ave,Edgecombe,Tarboro,27886,Edgecombe County Public School,Public,Yes,0,84,313,0.26839999999999997,0,0,0,0,0,0
2021,West Edgecombe Middle,6301 Nobles Mill Pond Road,Edgecombe,Rocky Mount,27801,Edgecombe County Public School,Public,Yes,0,241,321,0.7508,0,0,0,0,0,0
2021,SouthWest Edgecombe High,5912 NC 43 North,Edgecombe,Pinetops,27864,Edgecombe County Public School,Public,No,177,611,739,0.8268000000000001,0,0,0,0,0,0
2021,Stocks Elementary,400 Hope Lodge Street,Edgecombe,Tarboro,27886,Edgecombe County Public School,Public,Yes,0,0,0,0,0,0,0,0,0,0
2021,Tarboro High,1400 Howard Avenue,Edgecombe,Tarboro,27886,Edgecombe County Public School,Public,No,267,377,477,0.7904000000000001,0,0,0,0,0,0
2021,Martin Millennium Academy,400 E Johnston St,Edgecombe,Tarboro,27886,Edgecombe County Public School,Public,Yes,0,65,250,0.26,0,0,0,0,0,0
2021,Edgecombe County Public Schools,2311 North Main Street,Edgecombe,Tarboro,27886,Edgecombe County Public Schools,Public,No,445,2008,3373,0.5953,0,0,0,0,0,0
2021,North East Carolina Preparatory,274 Husky Trail,Edgecombe,Tarboro,27886,Charter Schools,Charter,Yes,0,174,629,0.2766,0,0,0,0,0,0
2021,Ashley Academy,1647 Ashley School Circle,Forsyth,Winston-Salem,27105,Forsyth County Schools,Public,Yes,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Atkins Academic & Technology High,3605 Old Greensboro Road,Forsyth,Winston-Salem,27101,Forsyth County Schools,Public,No,3,0,1154,0.95,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Bolton Elementary,1250 Bolton Street,Forsyth,Winston Salem,27103,Forsyth County Schools,Public,Yes,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Brunson Elementary,155 N Hawthorne Road,Forsyth,Winston Salem,27104,Forsyth County Schools,Public,Yes,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Caleb's Creek Elementary,1109 Salem Crossing Rd,Forsyth,Kernersville,27284,Forsyth County Schools,Public,No,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Carver High,3545 Carver School Road,Forsyth,Winston Salem,27105,Forsyth County Schools,Public,Yes,0,380,530,0.7170000000000001,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Career Center,910 Highland Court,Forsyth,Winston Salem,27101,Forsyth County Schools,Public,No,412,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Cash Elementary,4700 Old Hollow Road,Forsyth,Kernersville,27284,Forsyth County Schools,Public,No,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,C. Douglas Carter High School,851 Highland Court,Forsyth,Winston Salem,27101,Forsyth County Schools,Public,No,0,116,170,0.6823999999999999,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Children's Center,2315 Coliseum Drive,Forsyth,Winston Salem,27106,Forsyth County Schools,Public,No,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Clemmons Elementary,6200 Bingham Avenue,Forsyth,Clemmons,27012,Forsyth County Schools,Public,No,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Clemmons Middle,3785 Fraternity Church Road,Forsyth,Winston-Salem,27127,Forsyth County Schools,Public,No,0,950,1202,0.7903,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Cook Literacy Model School,920 11th Street NW,Forsyth,Winston-Salem,27105,Forsyth County Schools,Public,Yes,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,The Downtown School,601 N Cherry Street,Forsyth,Winston Salem,27101,Forsyth County Schools,Public,No,0,122,164,0.7439,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Early College of Forsyth County,2100 Silas Creek Prky,Forsyth,Winston Salem,27103,Forsyth County Schools,Public,No,0,16,254,0.063,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,East Forsyth High,2500 W Mountain Street,Forsyth,Kernersville,27284,Forsyth County Schools,Public,No,53,1028,1602,0.6417,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,East Forsyth Middle,810 Bagley Drive,Forsyth,Kernersville,27284,Forsyth County Schools,Public,Yes,0,546,731,0.7469,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Easton Elementary,734 E Clemmonsville Road,Forsyth,Winston Salem,27107,Forsyth County Schools,Public,Yes,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Flat Rock Middle,4648 Ebert Rd,Forsyth,Winston-Salem,27127,Forsyth County Schools,Public,Yes,0,748,789,0.948,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Forest Park Elementary,2019 Milford Street,Forsyth,Winston Salem,27107,Forsyth County Schools,Public,Yes,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Gibson Elementary,2020 Walker Road,Forsyth,Winston-Salem,27106,Forsyth County Schools,Public,Yes,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Robert B Glenn High,1600 Union Cross Road,Forsyth,Kernersville,27284,Forsyth County Schools,Public,No,54,857,1296,0.6613,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Griffith Elementary,1385 W Clemmonsville Road,Forsyth,Winston Salem,27127,Forsyth County Schools,Public,Yes,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Main Street Academy,2700 S Main Street,Forsyth,Winston-Salem,27127,Forsyth County Schools,Public,Yes,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Hall-Woodward Elementary,125 Nicholson Road,Forsyth,Winston Salem,27107,Forsyth County Schools,Public,Yes,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Hanes Magnet,2355 Pleasant St,Forsyth,Winston Salem,27107,Forsyth County Schools,Public,No,0,572,831,0.6883,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Virtual Academy,601 N Cherry St. Suite 250,Forsyth,Winston-Salem,27101,Forsyth County Schools,Public,No,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Ibraham Elementary,5036 Old Walkertown,Forsyth,Winston Salem,27105,Forsyth County Schools,Public,Yes,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Jefferson Elementary,4000 Jefferson School Lane,Forsyth,Winston-Salem,27106,Forsyth County Schools,Public,No,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Thomas Jefferson Middle,3500 Sally Kirk Road,Forsyth,Winston-Salem,27106,Forsyth County Schools,Public,No,0,1006,1181,0.8518000000000001,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Kernersville Elementary,512 W Mountain Street,Forsyth,Kernersville,27284,Forsyth County Schools,Public,Yes,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Kernersville Middle,110 Brown Road,Forsyth,Kernersville,27284,Forsyth County Schools,Public,No,0,694,791,0.8774,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Kimberley Park Elementary,1700 Old Cherry Street,Forsyth,Winston Salem,27105,Forsyth County Schools,Public,Yes,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
2021,Kimmel Farm Elementary,4672 Ebert Rd,Forsyth,Winston-Salem,27284,Forsyth County Schools,Public,Yes,0,0,0,0,1843616,1478448,940516.5,1444292.5,2429017.5,1775219.5
